"","choice","countries","sanctions"
"4913","Not supported","20 of 192","15%"
"4921","Not supported","20 of 192","None"
"4929","Not supported","20 of 192","5%"
"4937","Not supported","160 of 192","20%"
"4945","Not supported","80 of 192","5%"
"4953","Not supported","20 of 192","5%"
"4961","Supported","80 of 192","5%"
"4969","Supported","20 of 192","20%"
"4977","Not supported","160 of 192","None"
"4985","Supported","20 of 192","None"
"4993","Not supported","20 of 192","15%"
"5001","Not supported","80 of 192","20%"
"5009","Supported","80 of 192","20%"
"5017","Not supported","80 of 192","15%"
"5025","Not supported","160 of 192","15%"
"5033","Not supported","20 of 192","15%"
"5041","Not supported","80 of 192","15%"
"5049","Supported","80 of 192","5%"
"5057","Not supported","160 of 192","5%"
"5065","Not supported","160 of 192","5%"
"5073","Not supported","160 of 192","15%"
"5081","Not supported","80 of 192","5%"
"5089","Not supported","20 of 192","15%"
"5097","Supported","80 of 192","15%"
"5105","Supported","80 of 192","15%"
"5113","Supported","80 of 192","20%"
"5121","Not supported","160 of 192","20%"
"5129","Not supported","160 of 192","20%"
"5137","Supported","160 of 192","None"
"5145","Not supported","160 of 192","20%"
"5153","Supported","80 of 192","5%"
"5161","Supported","80 of 192","20%"
"5169","Supported","80 of 192","None"
"5177","Supported","20 of 192","5%"
"5185","Supported","20 of 192","20%"
"5193","Not supported","160 of 192","5%"
"5201","Not supported","20 of 192","5%"
"5209","Not supported","80 of 192","None"
"5217","Supported","160 of 192","None"
"5225","Supported","160 of 192","20%"
"5233","Supported","160 of 192","5%"
"5241","Not supported","160 of 192","15%"
"5249","Not supported","20 of 192","None"
"5257","Supported","20 of 192","5%"
"5265","Not supported","80 of 192","15%"
"5273","Supported","160 of 192","20%"
"5281","Not supported","20 of 192","5%"
"5289","Not supported","80 of 192","5%"
"5297","Supported","160 of 192","15%"
"5305","Supported","20 of 192","20%"
"5313","Supported","160 of 192","5%"
"5321","Not supported","80 of 192","20%"
"5329","Supported","80 of 192","None"
"5337","Not supported","20 of 192","20%"
"5345","Supported","80 of 192","20%"
"5353","Supported","20 of 192","None"
"5361","Not supported","160 of 192","20%"
"5369","Not supported","80 of 192","None"
"5377","Supported","160 of 192","20%"
"5385","Supported","20 of 192","None"
"5393","Supported","80 of 192","20%"
"5401","Not supported","160 of 192","15%"
"5409","Supported","160 of 192","15%"
"5417","Supported","160 of 192","20%"
"5425","Not supported","160 of 192","20%"
"5433","Not supported","160 of 192","15%"
"5441","Not supported","80 of 192","15%"
"5449","Supported","160 of 192","None"
"5457","Not supported","20 of 192","5%"
"5465","Supported","160 of 192","20%"
"5473","Supported","80 of 192","20%"
"5481","Not supported","20 of 192","20%"
"5489","Supported","80 of 192","None"
"5497","Supported","80 of 192","20%"
"5505","Supported","20 of 192","None"
"5513","Not supported","20 of 192","20%"
"5521","Supported","160 of 192","20%"
"5529","Not supported","20 of 192","None"
"5537","Supported","20 of 192","15%"
"5545","Supported","20 of 192","5%"
"5553","Supported","20 of 192","15%"
"5561","Supported","20 of 192","20%"
"5569","Supported","20 of 192","15%"
"5577","Not supported","160 of 192","None"
"5585","Supported","80 of 192","None"
"5593","Not supported","80 of 192","5%"
"5601","Not supported","160 of 192","None"
"5609","Not supported","20 of 192","15%"
