"","choice","countries","sanctions"
"6145","Supported","20 of 192","None"
"6153","Not supported","160 of 192","None"
"6161","Not supported","160 of 192","5%"
"6169","Not supported","80 of 192","5%"
"6177","Supported","20 of 192","5%"
"6185","Supported","20 of 192","5%"
"6193","Not supported","80 of 192","None"
"6201","Supported","80 of 192","5%"
"6209","Supported","80 of 192","15%"
"6217","Not supported","20 of 192","20%"
"6225","Not supported","20 of 192","5%"
"6233","Supported","20 of 192","15%"
"6241","Not supported","160 of 192","15%"
"6249","Not supported","20 of 192","20%"
"6257","Supported","80 of 192","15%"
"6265","Not supported","20 of 192","15%"
"6273","Not supported","20 of 192","None"
"6281","Not supported","160 of 192","5%"
"6289","Not supported","160 of 192","5%"
"6297","Supported","20 of 192","20%"
"6305","Supported","20 of 192","None"
"6313","Not supported","160 of 192","None"
"6321","Supported","80 of 192","20%"
"6329","Not supported","80 of 192","20%"
"6337","Supported","20 of 192","5%"
"6345","Supported","80 of 192","15%"
"6353","Not supported","80 of 192","None"
"6361","Not supported","80 of 192","None"
"6369","Supported","160 of 192","5%"
"6377","Supported","80 of 192","15%"
"6385","Supported","160 of 192","None"
"6393","Supported","160 of 192","5%"
"6401","Not supported","80 of 192","5%"
"6409","Supported","160 of 192","None"
"6417","Supported","80 of 192","None"
"6425","Not supported","20 of 192","5%"
"6433","Supported","160 of 192","5%"
"6441","Not supported","20 of 192","None"
"6449","Not supported","80 of 192","None"
"6457","Not supported","20 of 192","5%"
"6465","Supported","80 of 192","15%"
"6473","Supported","160 of 192","15%"
"6481","Not supported","160 of 192","None"
"6489","Not supported","160 of 192","5%"
"6497","Not supported","160 of 192","20%"
"6505","Not supported","160 of 192","15%"
"6513","Supported","160 of 192","15%"
"6521","Not supported","20 of 192","None"
"6529","Not supported","20 of 192","5%"
"6537","Supported","160 of 192","5%"
"6545","Not supported","160 of 192","5%"
"6553","Supported","80 of 192","None"
"6561","Supported","160 of 192","20%"
"6569","Not supported","20 of 192","15%"
"6577","Not supported","80 of 192","None"
"6585","Not supported","20 of 192","None"
"6593","Supported","80 of 192","15%"
"6601","Supported","160 of 192","5%"
"6609","Not supported","20 of 192","5%"
"6617","Not supported","20 of 192","15%"
"6625","Not supported","160 of 192","None"
"6633","Supported","160 of 192","20%"
"6641","Not supported","20 of 192","20%"
"6649","Supported","20 of 192","5%"
"6657","Not supported","160 of 192","20%"
"6665","Not supported","160 of 192","None"
"6673","Supported","20 of 192","20%"
"6681","Supported","80 of 192","5%"
"6689","Not supported","80 of 192","15%"
"6697","Supported","80 of 192","5%"
"6705","Supported","20 of 192","15%"
"6713","Not supported","20 of 192","5%"
"6721","Supported","20 of 192","None"
"6729","Not supported","20 of 192","None"
"6737","Supported","20 of 192","None"
"6745","Not supported","160 of 192","None"
"6753","Supported","80 of 192","15%"
"6761","Not supported","20 of 192","20%"
"6769","Supported","20 of 192","5%"
"6777","Not supported","20 of 192","5%"
"6785","Supported","160 of 192","15%"
"6793","Supported","20 of 192","5%"
"6801","Supported","20 of 192","None"
"6809","Not supported","80 of 192","None"
"6817","Supported","20 of 192","20%"
"6825","Not supported","80 of 192","20%"
"6833","Not supported","80 of 192","20%"
"6841","Not supported","80 of 192","15%"
"6849","Supported","160 of 192","None"
"6857","Supported","80 of 192","5%"
"6865","Supported","160 of 192","15%"
"6873","Not supported","160 of 192","15%"
"6881","Supported","160 of 192","5%"
"6889","Supported","20 of 192","5%"
"6897","Supported","160 of 192","15%"
"6905","Not supported","80 of 192","None"
"6913","Supported","160 of 192","20%"
"6921","Supported","80 of 192","None"
"6929","Supported","80 of 192","15%"
"6937","Supported","20 of 192","15%"
"6945","Supported","80 of 192","15%"
"6953","Not supported","80 of 192","5%"
"6961","Supported","160 of 192","5%"
"6969","Supported","160 of 192","5%"
"6977","Not supported","160 of 192","5%"
"6985","Supported","160 of 192","20%"
"6993","Not supported","20 of 192","5%"
"7001","Supported","160 of 192","15%"
"7009","Supported","80 of 192","15%"
"7017","Supported","80 of 192","5%"
"7025","Supported","80 of 192","5%"
"7033","Not supported","80 of 192","5%"
"7041","Supported","20 of 192","5%"
"7049","Supported","20 of 192","15%"
"7057","Not supported","20 of 192","None"
"7065","Supported","20 of 192","5%"
"7073","Not supported","20 of 192","15%"
"7081","Not supported","20 of 192","5%"
"7089","Not supported","20 of 192","20%"
"7097","Not supported","80 of 192","20%"
"7105","Supported","80 of 192","15%"
"7113","Not supported","80 of 192","5%"
"7121","Not supported","20 of 192","None"
"7129","Not supported","80 of 192","None"
"7137","Supported","160 of 192","15%"
"7145","Supported","160 of 192","5%"
"7153","Supported","80 of 192","5%"
"7161","Supported","160 of 192","5%"
"7169","Not supported","160 of 192","None"
"7177","Supported","160 of 192","5%"
"7185","Not supported","20 of 192","None"
"7193","Supported","20 of 192","5%"
"7201","Not supported","80 of 192","5%"
"7209","Supported","20 of 192","None"
"7217","Not supported","20 of 192","None"
"7225","Supported","80 of 192","20%"
"7233","Not supported","20 of 192","None"
"7241","Not supported","160 of 192","20%"
"7249","Not supported","80 of 192","5%"
"7257","Not supported","20 of 192","5%"
"7265","Supported","160 of 192","5%"
"7273","Not supported","160 of 192","5%"
"7281","Supported","160 of 192","15%"
"7289","Supported","80 of 192","15%"
"7297","Supported","160 of 192","20%"
"7305","Supported","80 of 192","20%"
"7313","Not supported","20 of 192","20%"
"7321","Supported","80 of 192","20%"
"7329","Not supported","20 of 192","None"
"7337","Not supported","20 of 192","20%"
"7345","Supported","160 of 192","15%"
"7353","Supported","160 of 192","None"
"7361","Not supported","160 of 192","20%"
"7369","Supported","80 of 192","None"
"7377","Supported","80 of 192","None"
"7385","Supported","80 of 192","20%"
"7393","Supported","80 of 192","20%"
"7401","Supported","80 of 192","20%"
"7409","Supported","80 of 192","20%"
"7417","Supported","160 of 192","20%"
"7425","Not supported","80 of 192","20%"
"7433","Not supported","80 of 192","20%"
"7441","Not supported","160 of 192","20%"
"7449","Supported","20 of 192","5%"
"7457","Supported","160 of 192","5%"
"7465","Supported","20 of 192","5%"
"7473","Supported","160 of 192","20%"
"7481","Supported","20 of 192","15%"
"7489","Not supported","20 of 192","20%"
"7497","Not supported","80 of 192","None"
"7505","Not supported","80 of 192","20%"
"7513","Supported","160 of 192","20%"
"7521","Not supported","160 of 192","5%"
"7529","Supported","160 of 192","5%"
"7537","Not supported","160 of 192","5%"
"7545","Not supported","20 of 192","20%"
"7553","Not supported","160 of 192","15%"
"7561","Supported","20 of 192","None"
"7569","Not supported","20 of 192","15%"
"7577","Supported","80 of 192","5%"
"7585","Not supported","80 of 192","20%"
"7593","Not supported","160 of 192","15%"
"7601","Not supported","80 of 192","20%"
"7609","Supported","20 of 192","None"
"7617","Not supported","20 of 192","20%"
"7625","Not supported","160 of 192","None"
"7633","Not supported","160 of 192","5%"
"7641","Supported","160 of 192","5%"
"7649","Supported","20 of 192","20%"
"7657","Not supported","20 of 192","5%"
"7665","Supported","20 of 192","None"
"7673","Not supported","80 of 192","5%"
"7681","Supported","80 of 192","None"
"7689","Supported","20 of 192","5%"
"7697","Supported","20 of 192","None"
"7705","Supported","160 of 192","20%"
"7713","Not supported","160 of 192","None"
"7721","Not supported","160 of 192","20%"
"7729","Not supported","20 of 192","20%"
"7737","Supported","160 of 192","20%"
"7745","Supported","20 of 192","None"
"7753","Supported","160 of 192","20%"
"7761","Supported","80 of 192","20%"
"7769","Not supported","80 of 192","None"
"7777","Supported","20 of 192","None"
"7785","Not supported","80 of 192","None"
"7793","Not supported","80 of 192","15%"
"7801","Supported","20 of 192","15%"
"7809","Not supported","80 of 192","20%"
"7817","Supported","160 of 192","15%"
"7825","Not supported","20 of 192","15%"
"7833","Supported","80 of 192","5%"
"7841","Not supported","20 of 192","5%"
"7849","Supported","80 of 192","5%"
"7857","Supported","160 of 192","None"
"7865","Supported","20 of 192","20%"
"7873","Not supported","20 of 192","15%"
"7881","Not supported","20 of 192","15%"
"7889","Not supported","20 of 192","None"
"7897","Not supported","80 of 192","None"
"7905","Supported","160 of 192","5%"
"7913","Not supported","20 of 192","15%"
"7921","Supported","160 of 192","20%"
"7929","Not supported","20 of 192","20%"
"7937","Supported","160 of 192","20%"
"7945","Supported","80 of 192","5%"
"7953","Supported","160 of 192","5%"
"7961","Not supported","160 of 192","15%"
"7969","Not supported","160 of 192","5%"
"7977","Not supported","20 of 192","None"
"7985","Not supported","20 of 192","15%"
"7993","Supported","20 of 192","None"
"8001","Supported","80 of 192","5%"
"8009","Supported","80 of 192","15%"
"8017","Supported","160 of 192","5%"
"8025","Not supported","160 of 192","15%"
"8033","Not supported","80 of 192","15%"
"8041","Not supported","20 of 192","20%"
"8049","Supported","160 of 192","20%"
"8057","Supported","160 of 192","5%"
"8065","Supported","160 of 192","20%"
"8073","Supported","80 of 192","15%"
"8081","Supported","80 of 192","20%"
"8089","Supported","160 of 192","15%"
"8097","Supported","80 of 192","5%"
"8105","Not supported","20 of 192","None"
"8113","Supported","20 of 192","20%"
"8121","Supported","160 of 192","5%"
"8129","Supported","20 of 192","5%"
"8137","Supported","80 of 192","5%"
"8145","Not supported","160 of 192","5%"
"8153","Not supported","20 of 192","None"
"8161","Not supported","20 of 192","20%"
"8169","Not supported","80 of 192","5%"
"8177","Supported","20 of 192","5%"
"8185","Supported","20 of 192","5%"
"8193","Supported","160 of 192","20%"
"8201","Supported","160 of 192","5%"
"8209","Not supported","20 of 192","None"
"8217","Supported","20 of 192","None"
"8225","Not supported","160 of 192","20%"
"8233","Not supported","160 of 192","15%"
"8241","Not supported","20 of 192","20%"
"8249","Supported","160 of 192","15%"
"8257","Not supported","80 of 192","15%"
"8265","Supported","20 of 192","15%"
"8273","Supported","80 of 192","None"
"8281","Not supported","20 of 192","5%"
"8289","Not supported","20 of 192","5%"
"8297","Not supported","160 of 192","5%"
"8305","Supported","20 of 192","20%"
"8313","Not supported","80 of 192","None"
"8321","Supported","160 of 192","None"
"8329","Supported","20 of 192","None"
"8337","Supported","160 of 192","None"
"8345","Not supported","80 of 192","None"
"8353","Not supported","80 of 192","15%"
"8361","Supported","20 of 192","5%"
"8369","Not supported","20 of 192","None"
"8377","Not supported","160 of 192","20%"
"8385","Not supported","80 of 192","20%"
"8393","Not supported","80 of 192","None"
"8401","Supported","20 of 192","15%"
"8409","Not supported","160 of 192","20%"
"8417","Supported","160 of 192","5%"
"8425","Not supported","80 of 192","None"
"8433","Supported","20 of 192","None"
"8441","Supported","80 of 192","None"
"8449","Not supported","80 of 192","15%"
"8457","Supported","20 of 192","None"
"8465","Supported","80 of 192","5%"
"8473","Supported","160 of 192","15%"
"8481","Not supported","80 of 192","15%"
"8489","Supported","80 of 192","5%"
"8497","Supported","160 of 192","20%"
"8505","Supported","160 of 192","5%"
"8513","Not supported","20 of 192","None"
"8521","Supported","80 of 192","20%"
"8529","Supported","80 of 192","20%"
"8537","Not supported","20 of 192","20%"
"8545","Supported","80 of 192","None"
"8553","Not supported","80 of 192","15%"
"8561","Not supported","160 of 192","5%"
"8569","Not supported","160 of 192","5%"
"8577","Supported","20 of 192","None"
"8585","Supported","20 of 192","None"
"8593","Supported","80 of 192","15%"
"8601","Not supported","80 of 192","5%"
"8609","Supported","20 of 192","20%"
"8617","Supported","80 of 192","15%"
"8625","Not supported","20 of 192","15%"
"8633","Not supported","80 of 192","20%"
"8641","Supported","20 of 192","5%"
"8649","Supported","160 of 192","20%"
"8657","Not supported","20 of 192","None"
"8665","Supported","20 of 192","None"
"8673","Supported","160 of 192","20%"
"8681","Supported","80 of 192","5%"
"8689","Not supported","20 of 192","None"
"8697","Supported","20 of 192","15%"
"8705","Not supported","80 of 192","15%"
"8713","Not supported","20 of 192","None"
"8721","Supported","80 of 192","5%"
"8729","Not supported","80 of 192","None"
"8737","Supported","80 of 192","5%"
"8745","Supported","80 of 192","15%"
"8753","Supported","80 of 192","15%"
"8761","Not supported","80 of 192","20%"
"8769","Not supported","80 of 192","20%"
"8777","Not supported","20 of 192","5%"
"8785","Not supported","80 of 192","None"
"8793","Supported","80 of 192","20%"
"8801","Not supported","20 of 192","20%"
"8809","Supported","20 of 192","None"
"8817","Not supported","80 of 192","20%"
"8825","Supported","20 of 192","5%"
"8833","Not supported","80 of 192","15%"
"8841","Supported","20 of 192","None"
"8849","Supported","80 of 192","None"
"8857","Supported","80 of 192","20%"
"8865","Not supported","160 of 192","None"
"8873","Not supported","20 of 192","15%"
"8881","Not supported","80 of 192","None"
"8889","Supported","20 of 192","20%"
"8897","Supported","160 of 192","5%"
"8905","Supported","160 of 192","5%"
"8913","Supported","80 of 192","None"
"8921","Supported","20 of 192","5%"
"8929","Not supported","80 of 192","5%"
"8937","Not supported","80 of 192","None"
"8945","Not supported","20 of 192","15%"
"8953","Supported","20 of 192","5%"
"8961","Not supported","80 of 192","None"
"8969","Not supported","80 of 192","20%"
"8977","Not supported","20 of 192","20%"
"8985","Not supported","80 of 192","None"
"8993","Not supported","80 of 192","None"
"9001","Supported","160 of 192","20%"
"9009","Supported","160 of 192","5%"
"9017","Supported","160 of 192","None"
"9025","Supported","160 of 192","20%"
"9033","Not supported","160 of 192","20%"
"9041","Not supported","20 of 192","15%"
"9049","Not supported","80 of 192","None"
"9057","Supported","20 of 192","None"
"9065","Supported","160 of 192","15%"
"9073","Supported","160 of 192","5%"
"9081","Supported","20 of 192","20%"
"9089","Not supported","20 of 192","5%"
"9097","Supported","160 of 192","None"
"9105","Not supported","80 of 192","20%"
"9113","Not supported","20 of 192","None"
"9121","Supported","20 of 192","None"
"9129","Not supported","80 of 192","5%"
"9137","Not supported","20 of 192","20%"
"9145","Supported","80 of 192","None"
"9153","Not supported","80 of 192","15%"
"9161","Not supported","20 of 192","20%"
"9169","Supported","160 of 192","20%"
"9177","Not supported","20 of 192","None"
"9185","Supported","80 of 192","20%"
"9193","Supported","20 of 192","None"
